Proportion Habitable,Mean Species D,Mean Empty
0.75,1780.3,84.3
0.74,1760.3,85.4
0.73,1734.8,86.1
0.72,1708.4,87.6
0.71,1692.4,88.8
0.7,1665.0,90.3
0.69,1646.0,91.5
0.68,1619.0,93.0
0.67,1604.2,94.6
0.66,1569.5,96.1
0.65,1546.7,97.5
0.64,1525.2,99.0
0.63,1507.5,100.5
0.62,1478.0,102.1
0.61,1449.2,103.6
0.6,1419.8,105.2
0.59,1390.4,106.7
0.58,1360.2,108.3
0.57,1332.8,109.8
0.56,1301.4,111.3
0.55,1273.5,112.9
0.54,1246.1,114.4
0.53,1220.6,116.0
0.52,1196.3,117.5
0.51,1172.3,119.0
0.5,1141.1,120.6
0.49,1114.3,122.1
0.48,1084.6,123.6
0.47,1050.4,125.2
0.46,1020.3,126.7
0.45,993.0,128.3
0.44,963.3,129.8
0.43,934.8,131.3
0.42,908.5,132.9
0.41,877.6,134.4
0.4,847.1,136.0
0.39,817.3,137.5
0.38,789.5,139.0
0.37,763.2,140.6
0.36,737.0,142.1
0.35,712.4,143.6
0.34,689.0,145.2
0.33,665.3,146.7
0.32,642.3,148.3
0.31,619.8,149.8
0.3,597.2,151.3
0.29,574.6,152.9
0.28,552.0,154.4
0.27,529.4,156.0
0.26,506.8,157.5
0.25,484.2,159.0
